Year,State,AgencyType,Agency Name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
,,,Constantine,0,0,0,0,2053
,,,Corunna,0,0,0,0,3401
,,,Covert Township,0,0,0,0,2837
,,,Croswell,0,0,0,0,2351
,,,Crystal Falls,0,0,0,0,1423
,,,Davison,0,0,0,0,5008
,,,Davison Township,0,0,0,0,19057
,,,Decatur,0,0,0,0,1776
,,,Denton Township,0,0,0,0,5404
,,,Dewitt,0,0,0,0,4663
,,,Dryden Township,0,0,0,0,4786
,,,Durand,0,0,0,0,3341
,,,East Grand Rapids,0,0,0,0,11306
,,,East Jordan,0,0,0,0,2365
,,,Eaton Rapids,0,0,0,,5208
,,,Eau Claire,0,0,0,0,621
,,,Edmore,0,0,0,0,1192
,,,Elk Rapids,0,0,0,0,1629
,,,Elkton,0,0,0,0,785
,,,Elsie,0,0,0,0,977
,,,Emmett Township,0,0,0,0,11642
,,,Erie Township,0,0,0,0,4435
,,,Escanaba,0,0,0,0,12549
,,,Evart,0,0,0,0,1887
,,,Farmington,0,0,0,0,10603
,,,Fennville,0,0,0,0,1387
,,,Fenton,0,0,0,0,11533
,,,Flint Township,0,0,0,0,30898
,,,Flushing,0,0,0,0,8158
,,,Flushing Township,0,0,0,0,10324
,,,Forsyth Township,0,0,0,0,6238
,,,Fowlerville,0,0,0,0,2955
,,,Frankenmuth,0,0,0,0,4883
,,,Frankfort,0,0,0,0,1280
,,,Franklin,0,0,0,0,3235
,,,Fremont,0,0,0,0,4043
,,,Frost Township,0,0,0,0,1023
,,,Fruitport,0,0,0,0,1104
,,,Gaines Township,0,0,0,0,6268
,,,Garden City,0,0,0,0,27035
,,,Garfield Township,0,0,0,0,808
,,,Gaylord,0,0,0,0,3635
,,,Gerrish Township,0,0,0,0,2938
,,,Gibraltar,0,0,0,0,4544
,,,Gladstone,0,0,0,0,4915
,,,Gladwin,0,0,0,0,2918
,,,Grand Beach,,0,,,271
,,,Grand Blanc,0,0,0,0,8054
,,,Grand Blanc Township,0,0,0,0,36613
,,,Grand Haven,0,0,0,0,11020
,,,Grand Ledge,0,0,0,0,7779
,,,Grandville,0,0,0,0,15830
,,,Grayling,0,0,0,0,1859
,,,Green Oak Township,0,0,0,0,18151
,,,Grosse Ile Township,0,0,0,0,10150
,,,Grosse Pointe,0,0,0,0,5293
,,,Grosse Pointe Woods,0,0,0,0,15807
,,,Hamburg Township,0,0,0,0,21676
,,,Hampton Township,0,0,0,0,9535
,,,Hamtramck,0,0,0,0,22036
,,,Hancock,0,0,0,0,4584
,,,Harbor Beach,0,0,0,0,1646
,,,Harbor Springs,0,0,0,0,1211
,,,Hart,0,0,0,0,2108
,,,Hartford,0,0,0,0,2629
,,,Hastings,0,0,0,0,7296
,,,Hazel Park,0,0,0,0,16668
,,,Hillsdale,0,0,0,0,8188
,,,Hopkins,0,0,0,0,609
,,,Howard City,0,,,,1778
,,,Howell,0,0,0,0,9577
,,,Hudson,0,0,0,0,2265
,,,Huron Township,0,0,0,0,15637
,,,Imlay City,0,0,0,0,3589
,,,Ionia,0,0,0,0,11433
,,,Iron River,0,0,0,0,2931
,,,Ironwood,0,0,0,0,5134
,,,Ishpeming,0,0,0,0,6547
,,,Ishpeming Township,0,0,0,0,3558
,,,Jonesville,0,0,0,0,2226
,,,Kalamazoo Township,0,0,0,0,24304
,,,Kalkaska,0,0,0,0,2039
,,,Keego Harbor,0,0,0,0,3034
,,,Kentwood,0,0,0,0,50617
,,,Kinde,0,0,0,0,436
,,,Kinross Township,0,0,0,0,7756
,,,Laingsburg,0,0,0,0,1258
,,,Lake Angelus,0,0,0,0,299
,,,Lake Linden,0,0,0,0,993
,,,Lake Odessa,0,0,0,0,2026
,,,Lake Orion,0,0,0,0,3085
,,,Lapeer Township,0,0,0,0,5076
,,,Lathrup Village,0,0,0,0,4166
,,,Laurium,0,0,0,0,1942
,,,Lawton,0,0,0,0,1880
,,,Lennon,0,0,0,0,491
,,,Leslie,0,0,0,0,1840
,,,Lincoln Township,0,0,0,0,14510
,,,Linden,0,0,0,0,3856
,,,Litchfield,0,0,0,0,1355
,,,Lowell,0,0,0,0,3879
,,,Ludington,0,0,0,0,8030
,,,Luna Pier,0,0,0,0,1394
,,,Mackinac Island,0,0,0,0,490
,,,Mackinaw City,0,0,0,0,810
,,,Madison Heights,0,0,0,0,30358
,,,Mancelona,0,0,0,0,1376
,,,Manistique,0,0,0,0,2989
,,,Marenisco Township,0,0,0,0,1712
,,,Marine City,0,0,0,0,4164
,,,Marlette,0,0,0,0,1805
,,,Marquette,0,0,0,0,21524
,,,Marysville,0,0,0,0,9790
,,,Mason,0,0,0,0,8271
,,,Mattawan,0,0,0,0,1951
,,,Mayville,0,0,0,0,925
,,,Memphis,0,0,,,1185
,,,Metamora Township,0,0,0,0,4237
,,,Michiana,,0,0,,182
,,,Midland,0,0,0,0,42256
,,,Milan,0,0,0,0,5917
,,,Milford,0,0,0,0,16470
,,,Montague,0,0,0,0,2360
,,,Morenci,0,0,0,0,2201
,,,Morrice,0,0,0,0,890
,,,Mount Morris Township,0,0,0,0,20820
,,,Munising,0,0,0,0,2324
,,,Muskegon Heights,0,0,0,0,10826
,,,Muskegon Township,0,0,0,0,17767
,,,Napoleon Township,0,0,0,0,6782
,,,Nashville,0,0,0,0,1625
,,,Negaunee,0,0,0,0,4626
,,,New Baltimore,0,0,0,0,12244
,,,New Era,0,0,0,0,450
,,,New Lothrop,0,,,,561
,,,Niles,0,0,0,0,11389
,,,North Branch,0,0,0,0,1033
,,,Northfield Township,0,0,0,0,8490
,,,North Muskegon,0,0,0,0,3786
,,,Northville,0,0,0,0,6015
,,,Norton Shores,0,0,0,0,24005
,,,Novi,0,0,0,0,58654
,,,Oak Park,0,0,0,0,29971
,,,Olivet,0,,,,1610
,,,Orchard Lake,0,0,0,0,2426
,,,Oscoda Township,0,0,0,0,6858
,,,Otisville,0,0,0,0,831
,,,Otsego,0,0,0,0,3967
,,,Ovid,0,0,0,0,1615
,,,Owendale,0,0,0,0,235
,,,Owosso,0,0,0,0,14685
,,,Oxford,0,0,0,0,3526
,,,Paw Paw,0,0,0,0,3474
,,,Pentwater,0,0,0,0,850
,,,Perry,0,0,0,0,2093
,,,Petoskey,0,0,0,0,5779
,,,Pinckney,0,0,0,0,2483
,,,Pinconning,0,0,0,0,1285
,,,Plainwell,0,0,0,0,3802
,,,Pleasant Ridge,0,0,0,0,2580
,,,Plymouth,0,0,0,0,8912
,,,Plymouth Township,0,0,0,0,26973
,,,Portage,0,0,0,0,47819
,,,Port Austin,0,0,0,0,644
,,,Port Huron,0,0,0,0,29145
,,,Quincy,0,0,0,0,1637
,,,Raisin Township,0,0,0,0,7547
,,,Reading,0,0,0,0,1063
,,,Redford Township,0,0,0,0,47456
,,,Reed City,0,0,0,0,2403
,,,Reese,0,0,0,0,1405
,,,"Richfield Township, Genesee County",0,0,0,0,8429
,,,"Richfield Township, Roscommon County",0,0,0,0,3652
,,,Richland,0,0,0,0,773
,,,Rochester,0,0,0,0,13057
,,,Rockford,0,0,0,0,6016
,,,Rockwood,0,0,0,0,3212
,,,Rogers City,0,0,0,0,2751
,,,Roosevelt Park,0,0,0,0,3830
,,,Rothbury,0,0,0,0,422
,,,Saginaw Township,0,0,0,0,40228
,,,Sand Lake,0,0,0,0,519
,,,Sandusky,0,0,0,0,2609
,,,Saugatuck-Douglas,0,0,0,0,2182
,,,Schoolcraft,0,0,0,0,1558
,,,Scottville,0,0,0,0,1214
,,,Sebewaing,0,0,0,0,1703
,,,Shepherd,0,0,0,0,1525
,,,Somerset Township,0,0,0,0,4585
,,,Southgate,0,0,0,0,29365
,,,South Lyon,0,0,0,0,11698
,,,South Rockwood,0,0,0,,1651
,,,Sparta,0,0,0,0,4257
,,,Spaulding Township,0,0,0,0,2091
,,,Spring Arbor Township,0,0,0,0,8267
,,,Standish,0,0,0,0,1469
,,,Stanton,0,0,0,0,1411
,,,St. Charles,0,0,0,0,1990
,,,Sterling Heights,0,0,0,0,131604
,,,St. Ignace,0,0,0,0,2435
,,,St. Johns,0,0,0,0,7983
,,,St. Joseph Township,0,0,0,0,9919
,,,St. Louis,0,0,0,0,7395
,,,Stockbridge,0,0,0,0,1217
,,,Sturgis,0,0,0,0,10913
,,,Sumpter Township,0,0,0,0,9332
,,,Swartz Creek,0,0,0,0,5607
,,,Sylvan Lake,0,0,0,0,1761
,,,Tawas,0,0,0,0,4543
,,,Taylor,0,0,0,0,61527
,,,Tecumseh,0,0,0,0,8407
,,,Thetford Township,0,0,0,0,6788
,,,Thomas Township,0,0,0,0,11718
,,,Tittabawassee Township,0,0,0,0,9835
,,,Tuscarora Township,0,0,0,0,2989
,,,Ubly,0,0,0,0,828
,,,Unadilla Township,0,0,0,0,3449
,,,Union City,0,0,0,0,1584
,,,Unionville,0,,,,491
,,,Utica,0,0,0,0,4783
,,,Vassar,0,0,0,0,2625
,,,Vernon,0,0,0,0,759
,,,Vicksburg,0,0,0,0,3146
,,,Walker,0,0,0,0,24443
,,,Waterford Township,0,0,0,0,73308
,,,Waterloo Township,0,0,0,0,2833
,,,Watervliet,0,0,0,0,1706
,,,Wayne,0,0,0,0,17067
,,,West Branch,0,0,0,0,2089
,,,White Cloud,0,0,0,0,1385
,,,Whitehall,0,0,0,0,2697
,,,White Lake Township,0,0,0,0,30940
,,,White Pigeon,0,0,0,0,1513
,,,Williamston,0,,0,,3827
,,,Wixom,0,0,0,0,13804
,,,Wolverine Lake,0,0,0,0,4405
,,,Woodhaven,0,0,0,0,12583
,,,Yale,0,0,0,0,1916
,,,Zeeland,0,0,0,0,5630
,,,Zilwaukee,0,0,0,0,1608
,,Universities and Colleges,Delta College,0,0,0,0,10272
,,,Grand Valley State University,0,0,0,0,24477
,,,Kalamazoo Valley Community College,0,0,0,0,10192
,,,Macomb Community College,0,0,0,0,23446
,,,Michigan Technological University,0,0,0,0,6975
,,,Mott Community College,0,0,0,0,9683
,,,Northern Michigan University,0,0,0,0,8918
,,,Oakland Community College,0,0,0,0,26405
,,,Saginaw Valley State University,0,0,0,0,10240
,,,University of Michigan: ,,,,,
,,,Dearborn,0,0,0,0,8748
,,,Flint,0,0,0,0,8555
,,,Western Michigan University,0,0,0,0,24294
,,Metropolitan Counties,Barry,0,0,0,0,
,,,Bay,0,0,0,0,
,,,Berrien,0,0,0,0,
,,,Calhoun,0,0,,,
,,,Cass,0,0,0,0,
,,,Clinton,0,0,0,0,
,,,Eaton,0,0,0,0,
,,,Ingham,0,0,0,0,
,,,Kalamazoo,0,0,0,0,
,,,Lapeer,0,0,0,0,
,,,Livingston,0,0,0,0,
,,,Montcalm,0,0,0,0,
,,,Muskegon,0,0,0,0,
,,,Saginaw,0,0,0,0,
,,,St. Clair,0,0,0,0,
,,,Wayne,0,0,0,0,
,,Nonmetropolitan Counties,Alcona,0,0,0,0,
,,,Alger,0,0,0,0,
,,,Alpena,0,0,0,0,
,,,Antrim,0,0,0,0,
,,,Arenac,0,0,0,0,
,,,Baraga,0,0,0,0,
,,,Benzie,0,0,0,0,
,,,Branch,0,0,0,0,
,,,Charlevoix,0,0,0,0,
,,,Cheboygan,0,0,0,0,
,,,Chippewa,0,0,0,0,
,,,Clare,0,0,0,0,
,,,Crawford,0,0,0,0,
,,,Delta,0,0,0,0,
,,,Emmet,0,0,0,0,
,,,Gladwin,0,0,0,0,
,,,Gogebic,0,0,0,0,
,,,Grand Traverse,0,0,0,0,
,,,Hillsdale,0,0,0,0,
,,,Houghton,0,0,0,0,
,,,Huron,0,0,0,0,
,,,Ionia,0,0,0,0,
,,,Iosco,0,0,0,0,
,,,Iron,0,0,0,0,
,,,Kalkaska,0,0,0,0,
,,,Keweenaw,0,0,0,0,
,,,Lake,0,0,0,0,
,,,Leelanau,0,0,0,0,
,,,Luce,0,0,0,0,
,,,Mackinac,0,0,0,0,
,,,Manistee,0,0,0,0,
,,,Marquette,0,0,0,0,
,,,Mason,0,0,0,0,
,,,Mecosta,0,0,0,0,
,,,Menominee,0,0,0,0,
,,,Missaukee,0,0,0,0,
,,,Montmorency,0,0,0,0,
,,,Oceana,0,0,0,0,
,,,Ogemaw,0,0,0,0,
,,,Ontonagon,0,0,0,,
,,,Osceola,0,0,0,0,
,,,Oscoda,0,0,0,0,
,,,Otsego,0,0,0,0,
,,,Presque Isle,0,0,0,0,
,,,Roscommon,0,0,0,0,
,,,Sanilac,0,0,0,0,
,,,Shiawassee,0,0,0,0,
,,,St. Joseph,0,0,0,0,
,,State Police Agencies,State Police:,,,,,
,,,Alcona County,0,0,0,0,
,,,Alger County,0,0,0,0,
,,,Allegan County,0,0,0,0,
,,,Alpena County,0,0,0,0,
,,,Antrim County,0,0,0,0,
,,,Arenac County,0,0,0,0,
,,,Baraga County,0,0,0,0,
,,,Barry County,0,0,0,0,
,,,Bay County,0,0,0,0,
,,,Benzie County,0,0,0,0,
,,,Berrien County,0,0,0,0,
,,,Branch County,0,0,0,0,
,,,Calhoun County,0,0,0,0,
,,,Cass County,0,0,0,0,
,,,Charlevoix County,0,0,0,0,
,,,Cheboygan County,0,0,0,0,
,,,Chippewa County,0,0,0,0,
,,,Clare County,0,0,0,0,
,,,Clinton County,0,0,0,0,
,,,Crawford County,0,0,0,0,
,,,Delta County,0,0,0,0,
,,,Dickinson County,0,0,0,0,
,,,Eaton County,0,0,0,0,
,,,Emmet County,0,0,0,0,
,,,Genesee County,0,0,0,0,
,,,Gladwin County,0,0,0,0,
,,,Gogebic County,0,0,0,0,
,,,Grand Traverse County,0,0,0,0,
,,,Hillsdale County,0,0,0,0,
,,,Houghton County,0,0,0,0,
,,,Huron County,0,0,0,0,
,,,Ingham County,0,0,0,0,
,,,Ionia County,0,0,0,0,
,,,Iosco County,0,0,0,0,
,,,Iron County,0,0,0,0,
,,,Isabella County,0,0,0,0,
,,,Jackson County,0,0,0,0,
,,,Kalamazoo County,0,0,0,0,
,,,Kalkaska County,0,0,0,0,
,,,Kent County,0,0,0,0,
,,,Keweenaw County,,0,0,0,
,,,Lake County,0,0,0,0,
,,,Lapeer County,0,0,0,0,
,,,Leelanau County,0,0,0,0,
,,,Lenawee County,0,0,0,0,
,,,Livingston County,0,0,0,0,
,,,Luce County,0,0,0,0,
,,,Mackinac County,0,0,0,0,
,,,Macomb County,0,0,0,0,
,,,Manistee County,0,0,0,0,
,,,Marquette County,0,0,0,0,
,,,Mason County,0,0,0,0,
,,,Mecosta County,0,0,0,0,
,,,Menominee County,0,0,0,0,
,,,Midland County,0,0,0,0,
,,,Missaukee County,0,0,0,0,
,,,Monroe County,0,0,0,0,
,,,Montcalm County,0,0,0,0,
,,,Montmorency County,0,0,0,0,
,,,Muskegon County,0,0,0,0,
,,,Newaygo County,0,0,0,0,
,,,Oakland County,0,0,0,0,
,,,Oceana County,0,0,0,0,
,,,Ogemaw County,0,0,0,0,
,,,Ontonagon County,0,0,0,0,
,,,Osceola County,0,0,0,0,
,,,Oscoda County,0,0,0,0,
,,,Otsego County,0,0,0,0,
,,,Ottawa County,0,0,0,0,
,,,Presque Isle County,0,0,0,0,
,,,Roscommon County,0,0,0,0,
,,,Saginaw County,0,0,0,0,
,,,Sanilac County,0,0,0,0,
,,,Schoolcraft County,0,0,0,0,
,,,Shiawassee County,0,0,0,0,
,,,St. Clair County,0,0,0,0,
,,,St. Joseph County,0,0,0,0,
,,,Tuscola County,0,0,0,0,
,,,Van Buren County,0,0,0,0,
,,,Washtenaw County,0,0,0,0,
,,,Wayne County,0,0,0,0,
,,,Wexford County,0,0,0,0,
,,Tribal Agencies,Bay Mills Tribal,0,0,0,0,
,,,Gun Lake Tribal,0,0,0,0,
,,,Grand Traverse Tribal,0,0,0,0,
,,,Hannahville Tribal,0,0,0,0,
,,,Keweenaw Bay Tribal,0,0,0,0,
,,,Lac Vieux Desert Tribal,0,0,0,0,
,,,Little River Band of Ottawa Indians,0,0,0,0,
,,,Little Traverse Bay Bands of Odawa Indians,0,0,0,0,
,,,Nottawaseppi Huron Band of Potawatomi,0,0,0,0,
,,,Pokagon Tribal,0,0,0,0,
,,,Saginaw Chippewa Tribal,0,,,,
,,,Sault Ste. Marie Tribal,0,0,0,0,
,,Other Agencies,Bishop International Airport,0,0,,0,
,,,Capitol Region Airport Authority,0,0,0,0,
,,,Genesee County Parks and Recreation ,0,0,0,0,
,,,Gerald R. Ford International Airport,0,0,0,0,
,,,Huron-Clinton Metropolitan Authority:,,,,,
,,,Hudson Mills Metropark,0,0,0,0,
,,,Kensington Metropark,0,0,0,0,
,,,Lower Huron Metropark,0,0,0,0,
,,,Stony Creek Metropark,0,0,0,0,
,,,Wayne County Airport,0,0,0,0,
,Minnesota,Cities,Albany,0,0,0,0,2622
,,,Albert Lea,0,0,0,0,17833
,,,Annandale,0,0,0,0,3302
,,,Anoka,0,0,0,0,17295
,,,Appleton,0,0,0,0,1360
,,,Arden Hills,0,0,0,0,9764
,,,Austin,0,0,0,0,24766
,,,Avon,0,0,0,0,1424
,,,Babbitt,0,0,0,0,1549
,,,Baxter,,,,0,7815
,,,Bayport,0,0,0,0,3698
,,,Becker,0,0,0,0,4668
,,,Belle Plaine,0,0,0,0,6880
,,,Bemidji,0,0,0,0,14513
,,,Benson,0,0,0,0,3124
,,,Big Lake,0,0,0,0,10348
,,,Blackduck,0,0,0,0,794
,,,Blooming Prairie,0,0,0,0,1962
,,,Bloomington,0,0,0,0,87163
,,,Blue Earth,0,0,0,0,3251
,,,Brainerd,0,0,0,0,13462
,,,Breckenridge,0,0,0,0,3362
,,,Brooklyn Center,0,0,0,0,30858
,,,Buffalo,0,0,0,0,15909
,,,Burnsville,0,0,0,0,61693
,,,Caledonia,0,0,0,0,2794
,,,Cambridge,,,,0,8244
,,,Canby,0,0,0,0,1734
,,,Cannon Falls,0,0,0,0,4077
,,,Centennial Lakes,0,0,0,0,10867
,,,Champlin,0,0,0,0,23965
,,,Chaska,0,0,0,0,24603
,,,Chisholm,0,0,0,0,5035
,,,Cloquet,0,0,0,0,12030
,,,Cold Spring/Richmond,0,0,0,0,5460
,,,Columbia Heights,0,0,0,0,19712
,,,Coon Rapids,0,0,0,0,62242
,,,Corcoran,0,0,0,0,5545
,,,Cottage Grove,0,0,0,0,35577
,,,Crookston,0,0,0,0,7905
,,,Crosby,0,0,0,0,2362
,,,Dawson,0,0,0,0,1467
,,,Dayton,0,0,0,0,4934
,,,Deephaven,0,0,0,0,3772
,,,Detroit Lakes,0,0,0,0,8978
,,,Dilworth,0,0,0,0,4148
,,,Eagle Lake,0,0,0,0,2563
,,,East Grand Forks,0,0,0,0,8598
,,,Echo,0,0,0,0,262
,,,Eden Prairie,0,0,0,0,63036
,,,Edina,0,0,0,0,49727
,,,Elk River,0,0,0,0,23548
,,,Elmore,0,0,0,0,641
,,,Ely,0,0,0,0,3454
,,,Fairmont,0,0,0,0,10380
,,,Faribault,0,0,0,0,23424
,,,Farmington,0,0,0,0,22428
,,,Fergus Falls,0,0,0,0,13408
,,,Floodwood,0,0,0,,522
,,,Forest Lake,0,0,0,0,19316
,,,Gilbert,0,0,0,0,1802
,,,Glencoe,0,0,0,0,5507
,,,Glenwood,0,0,0,0,2523
,,,Golden Valley,0,0,0,0,20959
,,,Goodview,0,0,0,0,4029
,,,Grand Rapids,0,0,0,0,11020
,,,Granite Falls,0,0,0,0,2784
,,,Hallock,0,0,0,0,965
,,,Hastings,0,0,0,0,22484
,,,Hermantown,0,0,0,,9648
,,,Hibbing,0,0,0,0,16289
,,,Hilltop,0,0,0,0,739
,,,Hokah,0,0,0,0,564
,,,Hopkins,0,0,0,0,18131
,,,Hutchinson,0,0,0,0,13803
,,,Isanti,0,0,0,0,5416
,,,Janesville,0,0,0,0,2243
,,,Kasson,0,0,0,0,6071
,,,La Crescent,0,0,0,0,4799
,,,Lake City,0,0,0,0,4961
,,,Lake Crystal,0,0,0,0,2535
,,,Lakefield,0,0,0,0,1681
,,,Lakes Area,0,0,0,0,9341
,,,Lakeville,0,0,0,0,59194
,,,Le Sueur,0,0,0,0,4037
,,,Lino Lakes,0,0,0,0,21016
,,,Litchfield,0,0,0,0,6678
,,,Little Canada,0,0,0,0,10207
,,,Little Falls,0,0,0,0,8198
,,,Long Prairie,0,0,0,0,3361
,,,Madison Lake,0,0,0,0,1066
,,,Maple Grove,0,0,0,0,66354
,,,Mapleton,0,0,0,0,1751
,,,Medina,0,0,0,0,5304
,,,Melrose,0,0,0,0,3594
,,,Milaca,0,0,0,0,2892
,,,Minnetrista,0,0,0,0,9235
,,,Montevideo,0,0,0,0,5178
,,,Montgomery,0,0,0,0,2942
,,,Morris,0,0,0,0,5348
,,,Mounds View,0,0,0,0,12645
,,,Mountain Lake,0,0,0,0,2136
,,,New Brighton,0,0,0,0,22276
,,,New Hope,0,0,0,0,20895
,,,Newport,0,0,0,0,3466
,,,New Prague,0,0,0,0,7542
,,,New Richland,0,0,0,0,1197
,,,New Ulm,0,0,0,0,13136
,,,North Branch,0,0,0,0,10076
,,,Northfield,0,0,0,0,20714
,,,North Mankato,0,0,0,0,13448
,,,North Oaks,0,0,0,0,4757
,,,North St. Paul,0,0,0,0,11948
,,,Oakdale,0,0,0,0,27870
,,,Oak Park Heights,0,0,0,0,4877
,,,Olivia,0,0,0,0,2374
,,,Orono,0,0,0,0,21288
,,,Ortonville,0,0,0,0,1842
,,,Osakis,0,,,,1716
,,,Osseo,0,0,0,0,2487
,,,Owatonna,0,0,0,0,25544
,,,Park Rapids,0,0,0,0,3912
,,,Paynesville,0,0,0,0,2421
,,,Plainview,0,0,0,0,3284
,,,Princeton,0,0,0,0,4683
,,,Proctor,0,0,0,0,3075
,,,Ramsey,0,0,0,0,25250
,,,Red Wing,0,0,0,0,16528
,,,Redwood Falls,0,0,0,0,5107
,,,Richfield,0,0,0,0,36408
,,,Rochester,0,0,0,0,111712
,,,Rogers,0,0,0,0,12180
,,,Rosemount,0,0,0,0,22850
,,,Sartell,0,0,0,0,16358
,,,Sauk Centre,0,0,0,0,4317
,,,Sauk Rapids,0,0,0,0,13382
,,,Savage,0,0,0,0,29065
,,,Shakopee,0,0,0,0,39632
,,,Shoreview,0,0,0,0,26209
,,,Sleepy Eye,0,0,0,0,3481
,,,South Lake Minnetonka,0,0,0,0,12096
,,,South St. Paul,0,0,0,0,20504
,,,Spring Grove,0,0,0,0,1302
,,,Spring Lake Park,0,0,0,0,6469
,,,St. Anthony,0,0,0,0,8680
,,,Staples,0,0,0,0,2890
,,,St. Francis,0,0,0,0,7349
,,,Stillwater,0,0,0,0,18770
,,,St. James,0,0,0,0,4540
,,,St. Joseph,0,0,0,0,6678
,,,St. Paul Park,0,0,0,0,5346
,,,St. Peter,0,0,0,0,11502
,,,Two Harbors,0,0,0,0,3648
,,,Vadnais Heights,0,0,0,0,13182
,,,Virginia,0,0,0,0,8650
,,,Wabasha,0,0,0,0,2489
,,,Wadena,0,0,0,0,4145
,,,Waite Park,0,0,0,0,6668
,,,Waseca,0,0,0,0,9329
,,,Wayzata,0,0,0,0,4363
,,,Wells,0,0,0,0,2256
,,,West Hennepin,0,0,0,0,5497
,,,West St. Paul,0,0,0,0,19808
,,,Wheaton,0,0,0,0,1367
,,,White Bear Lake,0,0,0,0,24802
,,,White Bear Township,0,0,0,0,11498
,,,Willmar,0,0,0,0,19696
,,,Windom,0,0,0,0,4562
,,,Winnebago,0,0,0,0,1386
,,,Winona,0,0,0,0,27546
,,,Woodbury,0,0,0,,66539
,,,Worthington,0,0,0,0,12984
,,,Wyoming,0,0,0,0,7737
,,,Zumbrota,0,0,0,0,3360
,,Universities and Colleges,University of Minnesota:,,,,,
,,,Duluth,0,0,0,0,11241
,,,Morris,0,0,0,0,1946
,,,Twin Cities,0,0,0,0,51526
,,Metropolitan Counties,Benton,0,0,0,0,
,,,Blue Earth,0,0,0,0,
,,,Carver,0,0,0,0,
,,,Chisago,0,0,0,0,
,,,Clay,0,0,0,0,
,,,Dakota,0,0,0,0,
,,,Dodge,0,0,0,0,
,,,Fillmore,0,0,0,0,
,,,Hennepin,0,0,0,0,
,,,Houston,0,0,0,0,
,,,Isanti,0,0,0,0,
,,,Le Sueur,0,0,0,0,
,,,Mille Lacs,0,0,0,0,
,,,Nicollet,0,0,0,0,
,,,Olmsted,0,0,0,0,
,,,Polk,0,0,0,0,
,,,Ramsey,0,0,0,0,
,,,Scott,0,0,0,,
,,,Sherburne,0,0,0,0,
,,,Stearns,0,0,0,0,
,,,St. Louis,,0,0,0,
,,,Wabasha,0,0,0,0,
,,,Washington,0,0,0,0,
,,Nonmetropolitan Counties,Aitkin,0,0,0,0,
,,,Becker,0,0,0,0,
,,,Beltrami,0,0,0,0,
,,,Big Stone,0,0,0,0,
,,,Brown,0,0,0,0,
,,,Cass,0,0,0,0,
,,,Chippewa,0,0,0,0,
,,,Clearwater,0,0,0,0,
,,,Cook,0,0,0,0,
,,,Cottonwood,0,0,0,0,
,,,Crow Wing,0,0,0,0,
,,,Douglas,0,0,0,0,
,,,Faribault,0,0,0,0,
,,,Freeborn,0,0,0,0,
,,,Goodhue,0,0,0,0,
,,,Grant,0,0,0,0,
,,,Hubbard,0,0,0,0,
,,,Itasca,,,0,0,
,,,Jackson,0,0,0,0,
,,,Kanabec,0,0,0,0,
,,,Kandiyohi,0,0,0,0,
,,,Kittson,0,0,0,0,
,,,Lac Qui Parle,0,0,0,0,
,,,Lake,0,0,0,0,
,,,Lake of the Woods,0,0,0,0,
,,,Lincoln,0,0,0,0,
,,,Lyon,0,0,0,0,
,,,Mahnomen,0,0,0,0,
,,,Marshall,0,0,0,0,
,,,Martin,0,0,0,0,
,,,Meeker,0,0,0,0,
,,,Morrison,0,0,0,0,
,,,Mower,0,0,0,0,
,,,Murray,0,0,0,0,
,,,Nobles,0,0,0,0,
,,,Norman,0,0,0,0,
,,,Otter Tail,0,0,0,0,
,,,Pennington,0,0,0,0,
,,,Pipestone,0,0,0,0,
,,,Pope,0,0,0,0,
,,,Redwood,0,0,0,0,
,,,Renville,0,0,0,0,
,,,Rice,0,0,0,0,
,,,Rock,0,0,0,0,
,,,Steele,0,0,0,0,
,,,Stevens,0,0,0,0,
,,,Swift,0,0,0,,
,,,Todd,0,0,0,0,
,,,Traverse,0,0,0,0,
,,,Wadena,0,0,,0,
,,,Waseca,0,0,0,0,
,,,Watonwan,0,0,0,0,
,,,Wilkin,0,0,0,0,
,,,Yellow Medicine,0,0,0,0,
,,Tribal Agencies,Fond du Lac Tribal,0,0,0,0,
,,,Leech Lake Band of Ojibwe,0,0,0,0,
,,,Lower Sioux Tribal,0,0,0,0,
,,,Mille Lacs Tribal,0,0,0,0,
,,,Nett Lake Tribal,0,0,,,
,,,Red Lake Agency,0,0,0,0,
,,,Upper Sioux Community,0,0,0,0,
,,,White Earth Tribal,0,,,,
,,Other Agencies,"Capitol Security, St. Paul",0,0,0,0,
,,,Minneapolis-St. Paul International Airport,0,0,0,0,
,,,Three Rivers Park District,0,0,0,0,
,Mississippi,Cities,Aberdeen,0,0,0,0,5433
,,,Ackerman,0,0,0,0,1471
,,,Batesville,0,0,,,7456
,,,Biloxi,0,0,0,0,45008
,,,Brandon,0,0,,,22707
,,,Byhalia,0,0,0,0,1291
,,,Byram,0,0,0,0,11628
,,,Cleveland,0,,,,12467
,,,Columbia,0,0,0,,6364
,,,Crystal Springs,0,,0,,4972
,,,D'Iberville,0,0,0,0,10595
,,,Florence,0,0,0,0,4310
,,,Fulton,0,0,0,0,4011
,,,Greenville,,0,0,0,32917
,,,Greenwood,0,0,,,15803
,,,Gulfport,0,0,0,0,71813
,,,Hattiesburg,0,0,0,0,47930
,,,Heidelberg,,,0,,684
,,,Horn Lake,0,0,,0,26766
,,,Indianola,0,0,0,0,10175
